date,amount,category
2020-01-01,89.92,groceries
2020-01-01,48.74,entertainment
2020-01-01,39.08,groceries
2020-01-01,48.36,groceries
2020-01-01,77.36,groceries
2020-01-01,73.46,groceries
2020-01-01,57.16,groceries
2020-01-01,75.94,groceries
2020-02-01,76.29,healthcare
2020-02-01,16.09,entertainment
2020-02-01,82.62,groceries
2020-02-01,21.61,utilities
2020-02-01,43.55,entertainment
2020-02-01,28.57,car
2020-02-01,86.28,groceries
2020-02-01,43.51,housing
2020-02-01,7.93,car
2020-03-01,51.83,groceries
2020-03-01,48.8,travel
2020-03-01,30.33,groceries
2020-03-01,85.14,groceries
2020-03-01,96.06,groceries
2020-03-01,66.16,housing
2020-03-01,53.73,groceries
2020-03-01,64.25,healthcare
2020-03-01,94.17,groceries
2020-04-01,65.61,housing
2020-04-01,11.49,travel
2020-04-01,88.06,groceries
2020-04-01,58.63,groceries
2020-04-01,28.14,groceries
2020-04-01,32.49,utilities
2020-04-01,6.55,groceries
2020-04-01,94.11,groceries
2020-05-01,1.19,groceries
2020-05-01,56.66,groceries
2020-05-01,49.05,entertainment
2020-05-01,41.46,healthcare
2020-05-01,71.48,entertainment
2020-05-01,32.84,groceries
2020-05-01,78.47,entertainment
2020-05-01,29.33,groceries
2020-06-01,87.67,groceries
2020-06-01,44.3,housing
2020-06-01,56.0,entertainment
2020-06-01,66.25,travel
2020-06-01,97.5,healthcare
2020-06-01,29.02,groceries
2020-06-01,97.86,groceries
2020-07-01,47.77,housing
2020-07-01,80.89,groceries
2020-07-01,21.09,utilities
2020-07-01,4.62,car
2020-07-01,96.13,utilities
2020-07-01,12.53,groceries
2020-07-01,35.77,entertainment
2020-08-01,82.73,healthcare
2020-08-01,47.77,groceries
2020-08-01,74.13,groceries
2020-08-01,38.33,entertainment
2020-08-01,65.55,housing
2020-08-01,6.29,groceries
2020-08-01,25.23,groceries
2020-09-01,49.51,travel
2020-09-01,17.92,entertainment
2020-09-01,74.69,travel
2020-09-01,89.4,groceries
2020-09-01,55.0,travel
2020-09-01,81.93,utilities
2020-09-01,57.69,healthcare
2020-09-01,22.22,entertainment
2020-09-01,13.22,entertainment
2020-09-01,77.76,groceries
2020-09-01,13.22,groceries
2020-10-01,57.58,groceries
2020-10-01,4.0,car
2020-10-01,20.48,utilities
2020-10-01,15.74,utilities
2020-10-01,59.31,entertainment
2020-10-01,15.31,groceries
2020-10-01,96.55,groceries
2020-10-01,91.65,entertainment
2020-10-01,50.04,groceries
2020-10-01,80.78,groceries
2020-11-01,71.81,groceries
2020-11-01,24.68,housing
2020-11-01,69.69,healthcare
2020-11-01,56.34,groceries
2020-12-01,66.58,entertainment
2020-12-01,76.24,utilities
2020-12-01,81.17,groceries
2020-12-01,47.01,car
2020-12-01,71.57,groceries
2020-12-01,73.81,utilities
2020-12-01,9.22,healthcare
2020-12-01,32.22,travel
2020-12-01,5.72,entertainment
2020-12-01,73.53,groceries
2021-01-01,70.84,entertainment
2021-01-01,99.42,entertainment
2021-01-01,37.04,healthcare
2021-01-01,90.98,healthcare
2021-01-01,58.67,healthcare
2021-01-01,92.68,groceries
2021-01-01,65.82,groceries
2021-01-01,99.58,groceries
2021-01-01,16.65,healthcare
2021-01-01,10.93,groceries
2021-02-01,33.45,groceries
2021-02-01,70.84,travel
2021-02-01,34.73,entertainment
2021-02-01,46.42,groceries
2021-02-01,91.4,healthcare
2021-02-01,71.29,travel
2021-02-01,21.49,entertainment
2021-02-01,18.48,groceries
2021-02-01,55.53,healthcare
2021-02-01,77.15,groceries
2021-03-01,43.56,groceries
2021-03-01,83.79,healthcare
2021-03-01,84.38,travel
2021-03-01,24.06,groceries
2021-03-01,56.91,groceries
2021-03-01,9.95,travel
2021-03-01,17.04,housing
2021-03-01,65.6,entertainment
2021-03-01,48.31,housing
2021-03-01,53.55,healthcare
2021-04-01,85.99,car
2021-04-01,59.48,travel
2021-04-01,1.1,travel
2021-04-01,54.48,groceries
2021-04-01,14.25,car
2021-04-01,24.01,groceries
2021-04-01,66.32,healthcare
2021-04-01,38.34,healthcare
2021-04-01,62.12,groceries
2021-04-01,14.14,housing
2021-04-01,64.07,groceries
2021-04-01,97.5,housing
2021-04-01,97.26,entertainment
2021-04-01,90.99,entertainment
2021-05-01,64.94,car
2021-05-01,36.64,groceries
2021-05-01,70.0,groceries
2021-05-01,90.62,groceries
2021-05-01,92.65,groceries
2021-05-01,77.18,groceries
2021-05-01,57.91,groceries
2021-05-01,43.15,housing
2021-06-01,83.8,groceries
2021-06-01,49.62,entertainment
2021-06-01,71.06,groceries
2021-06-01,33.25,groceries
2021-06-01,53.4,groceries
2021-06-01,4.61,entertainment
2021-06-01,2.51,utilities
2021-06-01,56.95,entertainment
2021-06-01,82.12,travel
2021-06-01,29.88,entertainment
2021-06-01,1.36,utilities
2021-07-01,40.01,housing
2021-07-01,47.98,groceries
2021-07-01,45.75,groceries
2021-07-01,95.4,groceries
2021-07-01,90.35,groceries
2021-07-01,82.36,groceries
2021-07-01,92.92,car
2021-07-01,16.85,entertainment
2021-07-01,82.77,groceries
2021-07-01,63.85,utilities
2021-07-01,10.82,entertainment
2021-08-01,42.11,groceries
2021-08-01,10.76,groceries
2021-08-01,49.48,entertainment
2021-08-01,53.11,groceries
2021-08-01,51.99,groceries
2021-08-01,75.16,utilities
2021-08-01,53.6,groceries
2021-08-01,37.27,groceries
2021-08-01,11.23,groceries
2021-09-01,45.43,groceries
2021-09-01,73.96,groceries
2021-09-01,45.1,groceries
2021-09-01,25.35,groceries
2021-09-01,68.04,groceries
2021-09-01,62.09,groceries
2021-09-01,66.98,utilities
2021-09-01,32.28,groceries
2021-09-01,19.8,entertainment
2021-09-01,69.23,groceries
2021-10-01,56.28,healthcare
2021-10-01,2.16,entertainment
2021-10-01,59.04,groceries
2021-10-01,89.95,groceries
2021-10-01,35.4,groceries
2021-10-01,75.07,entertainment
2021-10-01,34.26,groceries
2021-11-01,95.83,groceries
2021-11-01,9.02,utilities
2021-11-01,85.69,healthcare
2021-11-01,24.64,healthcare
2021-11-01,49.18,healthcare
2021-11-01,53.08,entertainment
2021-11-01,29.73,travel
2021-11-01,17.31,groceries
2021-11-01,76.38,groceries
2021-11-01,89.54,groceries
2021-12-01,53.16,groceries
2021-12-01,53.25,entertainment
2021-12-01,91.38,car
2021-12-01,77.33,entertainment
2021-12-01,85.64,groceries
2021-12-01,61.59,entertainment
2021-12-01,43.79,car
2021-12-01,44.01,travel
2021-12-01,13.41,healthcare
2022-01-01,96.68,housing
2022-01-01,18.45,groceries
2022-01-01,78.89,groceries
2022-01-01,6.87,healthcare
2022-01-01,56.18,entertainment
2022-01-01,63.06,groceries
2022-01-01,15.97,groceries
2022-01-01,50.25,groceries
2022-01-01,58.76,groceries
2022-01-01,24.09,groceries
2022-01-01,31.04,groceries
2022-01-01,70.04,groceries
2022-01-01,25.06,groceries
2022-01-01,61.61,travel
2022-01-01,39.21,groceries
2022-01-01,11.46,groceries
2022-02-01,14.8,housing
2022-02-01,81.78,healthcare
2022-02-01,12.49,entertainment
2022-02-01,68.73,utilities
2022-02-01,30.66,groceries
2022-02-01,56.6,groceries
2022-02-01,73.0,entertainment
2022-02-01,7.76,travel
2022-03-01,22.03,groceries
2022-03-01,74.89,groceries
2022-03-01,27.95,groceries
2022-03-01,97.88,travel
2022-03-01,29.95,entertainment
2022-03-01,33.46,entertainment
2022-03-01,11.64,entertainment
2022-03-01,28.7,groceries
2022-03-01,84.11,groceries
2022-03-01,65.94,healthcare
2022-03-01,68.89,groceries
2022-03-01,99.26,car
2022-03-01,19.47,car
2022-03-01,79.93,entertainment
2022-04-01,81.24,groceries
2022-04-01,32.05,utilities
2022-04-01,74.43,utilities
2022-04-01,92.54,entertainment
2022-04-01,67.87,entertainment
2022-04-01,49.54,groceries
2022-04-01,72.31,entertainment
2022-04-01,74.85,groceries
2022-04-01,56.05,groceries
2022-04-01,69.44,travel
2022-04-01,85.56,groceries
2022-05-01,14.99,healthcare
2022-05-01,29.46,groceries
2022-05-01,17.41,groceries
2022-05-01,83.34,groceries
2022-05-01,40.07,groceries
2022-05-01,78.19,entertainment
2022-05-01,32.96,housing
2022-05-01,89.92,entertainment
2022-06-01,86.82,groceries
2022-06-01,69.78,entertainment
2022-06-01,66.43,groceries
2022-06-01,58.21,groceries
2022-06-01,73.24,groceries
2022-06-01,19.85,groceries
2022-06-01,47.97,housing
